rank,feature_idx,cohens_d,auroc,fire_rate_tool,fire_rate_nontool,diff,mean_tool,mean_nontool,sign
533,506,-0.041083,0.981945,0.0110,0.0130,-0.017310,0.037226,0.054535,nontool
534,740,-0.039951,0.992515,0.0050,0.0050,-0.014707,0.016877,0.031583,nontool
535,575,-0.039868,0.994037,0.0020,0.0040,-0.014687,0.012706,0.027393,nontool
536,375,0.039844,0.995076,0.0050,0.0030,0.020884,0.042988,0.022104,tool
537,136,-0.039331,0.996004,0.0010,0.0020,-0.006395,0.002984,0.009380,nontool
538,458,-0.039221,0.996017,0.0010,0.0020,-0.007544,0.003500,0.011044,nontool
539,710,-0.038940,0.994023,0.0020,0.0040,-0.010779,0.009403,0.020181,nontool
540,517,-0.038729,0.994020,0.0030,0.0040,-0.010457,0.010471,0.020928,nontool
541,35,-0.037387,0.994011,0.0030,0.0040,-0.009267,0.009801,0.019068,nontool
542,246,-0.037333,0.994070,0.0030,0.0040,-0.013668,0.012589,0.026257,nontool
543,53,-0.037089,0.990257,0.0030,0.0070,-0.013852,0.018375,0.032227,nontool
544,130,0.036852,0.996070,0.0040,0.0020,0.008693,0.017202,0.008509,tool
545,567,-0.036471,0.995018,0.0020,0.0030,-0.009368,0.007754,0.017122,nontool
546,761,0.036153,0.997012,0.0020,0.0010,0.006121,0.009543,0.003422,tool
547,86,-0.035761,0.986517,0.0110,0.0100,-0.015450,0.035199,0.050649,nontool
548,472,0.035593,0.986526,0.0060,0.0100,0.032455,0.086359,0.053904,tool
549,523,0.035500,0.996005,0.0070,0.0030,0.011966,0.028653,0.016687,tool
550,588,0.035384,0.969478,0.0250,0.0230,0.023254,0.111678,0.088424,tool
551,800,-0.033890,0.996064,0.0010,0.0020,-0.007675,0.004840,0.012515,nontool
552,764,-0.033871,0.996004,0.0010,0.0020,-0.006250,0.003979,0.010229,nontool
553,462,0.033557,0.988925,0.0180,0.0080,0.015517,0.058370,0.042853,tool
554,223,0.032763,0.996508,0.0040,0.0020,0.007215,0.015654,0.008439,tool
555,285,0.031774,0.996072,0.0030,0.0020,0.006803,0.014017,0.007214,tool
556,571,-0.031691,0.995008,0.0010,0.0030,-0.009098,0.007864,0.016963,nontool
557,57,-0.030923,0.987265,0.0060,0.0090,-0.019296,0.042468,0.061764,nontool
558,638,-0.030833,0.994039,0.0040,0.0040,-0.011616,0.016167,0.027782,nontool
559,338,0.030803,0.990289,0.0110,0.0070,0.027290,0.088989,0.061699,tool
560,555,0.030788,0.990285,0.0080,0.0070,0.021024,0.059727,0.038703,tool
561,642,0.030657,0.861104,0.1480,0.1110,0.038099,0.489616,0.451518,tool
562,49,0.030656,0.996069,0.0040,0.0020,0.009925,0.021626,0.011700,tool
563,231,-0.030560,0.988930,0.0070,0.0080,-0.011042,0.025199,0.036241,nontool
564,239,-0.030057,0.995018,0.0020,0.0030,-0.006647,0.007598,0.014246,nontool
565,537,-0.029859,0.994066,0.0040,0.0040,-0.007917,0.012246,0.020164,nontool
566,697,-0.029288,0.992528,0.0020,0.0050,-0.013590,0.017577,0.031168,nontool
567,20,0.029218,0.997006,0.0020,0.0010,0.006465,0.011796,0.005331,tool
568,402,0.029008,0.992554,0.0080,0.0050,0.011911,0.038702,0.026791,tool
569,709,-0.028725,0.994023,0.0030,0.0040,-0.009210,0.014031,0.023241,nontool
570,705,-0.028343,0.981988,0.0130,0.0130,-0.014174,0.048994,0.063168,nontool
571,235,-0.028098,0.996034,0.0020,0.0020,-0.008259,0.007995,0.016254,nontool
572,396,0.027772,0.994138,0.0090,0.0040,0.012142,0.039561,0.027419,tool
573,83,-0.027659,0.996032,0.0010,0.0020,-0.005776,0.005199,0.010975,nontool
574,668,-0.027594,0.988924,0.0010,0.0080,-0.022258,0.030463,0.052722,nontool
575,756,-0.027136,0.925312,0.0600,0.0580,-0.034564,0.282801,0.317364,nontool
