rank,feature_idx,cohens_d,auroc,fire_rate_tool,fire_rate_nontool,diff,mean_tool,mean_nontool,sign
412,1091,-0.063169,0.996502,0.0000,0.0020,-0.009461,0.000000,0.009461,nontool
413,901,-0.063157,0.996003,0.0000,0.0020,-0.015965,0.000000,0.015965,nontool
414,1107,0.063142,0.997505,0.0020,0.0000,0.006517,0.006517,0.000000,tool
415,1433,-0.063132,0.978407,0.0120,0.0160,-0.030558,0.041299,0.071857,nontool
416,1243,-0.063130,0.996003,0.0000,0.0020,-0.008569,0.000000,0.008569,nontool
417,1296,-0.063130,0.996003,0.0000,0.0020,-0.012395,0.000000,0.012395,nontool
418,1035,0.063116,0.997504,0.0020,0.0000,0.007433,0.007433,0.000000,tool
419,913,-0.063070,0.996017,0.0000,0.0020,-0.011189,0.000000,0.011189,nontool
420,1099,-0.063051,0.996003,0.0000,0.0020,-0.013844,0.000000,0.013844,nontool
421,837,-0.063025,0.996003,0.0000,0.0020,-0.009183,0.000000,0.009183,nontool
422,839,-0.062978,0.996003,0.0000,0.0020,-0.015063,0.000000,0.015063,nontool
423,1337,0.062965,0.997020,0.0050,0.0010,0.023412,0.028193,0.004781,tool
