name,architecture,variant_family,regime,dict_size,topk,exclusive_pct,exclusive_pct_label,model_side,metric_family,stage,value
antebe1/cc-D8k-nol1-k160,CrossCoder,CrossCoder baseline,CrossCoder no-L1,8192,160,0.0,0%,B,overall_score,pre,-1.0
antebe1/cc-D8k-nol1-k160,CrossCoder,CrossCoder baseline,CrossCoder no-L1,8192,160,0.0,0%,A,tool_correctness,pre,19.0
antebe1/cc-D8k-nol1-k160,CrossCoder,CrossCoder baseline,CrossCoder no-L1,8192,160,0.0,0%,B,tool_correctness,pre,0.0
antebe1/cc-D8k-nol1-k160,CrossCoder,CrossCoder baseline,CrossCoder no-L1,8192,160,0.0,0%,A,format_accuracy,post,41.0
antebe1/cc-D8k-nol1-k160,CrossCoder,CrossCoder baseline,CrossCoder no-L1,8192,160,0.0,0%,B,format_accuracy,post,0.0
antebe1/cc-D8k-nol1-k160,CrossCoder,CrossCoder baseline,CrossCoder no-L1,8192,160,0.0,0%,A,overall_score,post,0.21
antebe1/cc-D8k-nol1-k160,CrossCoder,CrossCoder baseline,CrossCoder no-L1,8192,160,0.0,0%,B,overall_score,post,-0.84
antebe1/cc-D8k-nol1-k160,CrossCoder,CrossCoder baseline,CrossCoder no-L1,8192,160,0.0,0%,A,tool_correctness,post,40.0
antebe1/cc-D8k-nol1-k160,CrossCoder,CrossCoder baseline,CrossCoder no-L1,8192,160,0.0,0%,B,tool_correctness,post,8.0
antebe1/cc-D8k-nol1-k160,CrossCoder,CrossCoder baseline,CrossCoder no-L1,8192,160,0.0,0%,A,format_accuracy,delta,22.0
antebe1/cc-D8k-nol1-k160,CrossCoder,CrossCoder baseline,CrossCoder no-L1,8192,160,0.0,0%,B,format_accuracy,delta,0.0
antebe1/cc-D8k-nol1-k160,CrossCoder,CrossCoder baseline,CrossCoder no-L1,8192,160,0.0,0%,A,overall_score,delta,0.64
antebe1/cc-D8k-nol1-k160,CrossCoder,CrossCoder baseline,CrossCoder no-L1,8192,160,0.0,0%,B,overall_score,delta,0.16
antebe1/cc-D8k-nol1-k160,CrossCoder,CrossCoder baseline,CrossCoder no-L1,8192,160,0.0,0%,A,tool_correctness,delta,21.0
antebe1/cc-D8k-nol1-k160,CrossCoder,CrossCoder baseline,CrossCoder no-L1,8192,160,0.0,0%,B,tool_correctness,delta,8.0
