dict_size,exclusive_pct,regime,metric,comparison,delta
16384,0.1,DFC free-exclusive,format_accuracy_B_post,90->160,0.0
16384,0.1,DFC free-exclusive,overall_score_A_post,90->160,0.06000000000000005
16384,0.1,DFC free-exclusive,overall_score_B_post,90->160,-0.30000000000000004
16384,0.1,DFC free-exclusive,tool_correctness_A_post,90->160,2.0
16384,0.1,DFC free-exclusive,tool_correctness_B_post,90->160,-15.0
16384,0.1,DFC free-exclusive,format_accuracy_A_post,45->160,26.0
16384,0.1,DFC free-exclusive,format_accuracy_B_post,45->160,0.0
16384,0.1,DFC free-exclusive,overall_score_A_post,45->160,0.76
16384,0.1,DFC free-exclusive,overall_score_B_post,45->160,0.05999999999999994
16384,0.1,DFC free-exclusive,tool_correctness_A_post,45->160,25.0
16384,0.1,DFC free-exclusive,tool_correctness_B_post,45->160,3.0
16384,0.1,DFC penalized-exclusive,format_accuracy_A_post,45->160,2.0
16384,0.1,DFC penalized-exclusive,format_accuracy_B_post,45->160,0.0
16384,0.1,DFC penalized-exclusive,overall_score_A_post,45->160,0.05999999999999994
16384,0.1,DFC penalized-exclusive,overall_score_B_post,45->160,-0.040000000000000036
16384,0.1,DFC penalized-exclusive,tool_correctness_A_post,45->160,2.0
16384,0.1,DFC penalized-exclusive,tool_correctness_B_post,45->160,-2.0
